Date,Title,Length
January 1 2005,Alchemy,48656
January 2 2005,Johnny Cash,53385
January 3 2005,Henry VIII,72158
January 4 2005,orca,48279
January 5 2005,Ziad Jarrah,18386
January 6 2005,Restoration comedy,22767
January 7 2005,CPU cache,54470
January 8 2005,Chuck Palahniuk,15293
January 9 2005,pet skunk,17716
January 10 2005,President of Ireland,31949
January 11 2005,Polish-Lithuanian Commonwealth,63605
January 12 2005,Lottie Dod,14444
January 13 2005,Fermi paradox,49902
January 14 2005,Lake Burley Griffin,35231
January 15 2005,Constitution of the United States,80317
January 16 2005,The Long and Winding Road,22294
January 17 2005,gender role,73293
January 18 2005,First Crusade,69648
January 19 2005,Bernard Williams,22167
January 20 2005,Eifel Aqueduct,16259
January 21 2005,gold standard,52070
January 22 2005,Baháʼí Faith,45728
January 23 2005,"Tlön, Uqbar, Orbis Tertius",23320
January 24 2005,Witold Pilecki,23533
January 25 2005,Hip hop music,95007
January 26 2005,Battle of Hampton Roads,34886
January 27 2005,Robert Walpole,35559
January 28 2005,aquarium,39573
January 29 2005,Pulaski Skyway,26121
January 30 2005,Laal language,13117
January 31 2005,Super Mario 64,31775
February 1 2005,Mahatma Gandhi,124758
February 2 2005,H II region,17804
February 3 2005,Mark Latham,41458
February 4 2005,King James Version,64796
February 5 2005,Isan,39849
February 6 2005,poetry of the United States,28961
February 7 2005,Bodyline,38109
February 8 2005,Battle of Inchon,33561
February 9 2005,Jonathan Wild,27460
February 10 2005,Coconut Crab,19353
February 11 2005,economy of the Republic of Ireland,38064
February 12 2005,Albert Einstein,74324
February 13 2005,Bryce Canyon National Park,17910
February 14 2005,Mary I,35516
February 15 2005,history of Russia,101496
February 16 2005,Commonwealth of Nations,56529
February 17 2005,Mor lam,19759
February 18 2005,Graffiti,49451
February 19 2005,Xenu,33235
February 20 2005,Brolga,16496
February 21 2005,Liberal Party of Utah,10987
February 22 2005,Roe v. Wade,102177
February 23 2005,Big Bang,52635
February 24 2005,Sid McMath,58820
February 25 2005,John Vanbrugh,55323
February 26 2005,Lord's Resistance Army,27949
February 27 2005,Great Lakes Storm of 1913,21562
February 28 2005,Hrafnkels saga,16457
March 1 2005,Space Race,70663
March 2 2005,national parks of England and Wales,18095
March 3 2005,Weight training,30938
March 4 2005,H.D.,20773
March 5 2005,Ammolite,15280
March 6 2005,Buddhist art,44380
March 7 2005,Anne Frank,49744
March 8 2005,Chemical warfare,38593
March 9 2005,San José,67992
March 10 2005,Comet Hale-Bopp,17477
March 11 2005,League of Nations,76046
March 12 2005,Charles II,44270
March 13 2005,Octopus card,37105
March 14 2005,Suzanne Lenglen,53428
March 15 2005,Mordechai Vanunu,52259
March 16 2005,Cannabis rescheduling in the United States,45491
March 17 2005,geography of Ireland,19227
March 18 2005,Evolution,69100
March 19 2005,John Dee,25688
March 20 2005,Cambodia,86486
March 21 2005,Isaac Asimov,67558
March 22 2005,Flag of South Africa,12533
March 23 2005,Pioneer Zephyr,26511
March 24 2005,history of the Yosemite area,38916
March 25 2005,military history of the Soviet Union,38388
March 26 2005,Helicobacter pylori,47432
March 27 2005,Julia Stiles,12481
March 28 2005,Venus,49940
March 29 2005,The Supremes,28857
March 30 2005,George Fox,32191
March 31 2005,bicycle,45432
April 1 2005,Nintendo Entertainment System,56524
April 2 2005,Medal of Honor,28256
April 3 2005,Cardinal Richelieu,32581
April 4 2005,Bank of China (Hong Kong),13588
April 5 2005,The Cantos,77542
April 6 2005,El Lissitzky,25943
April 7 2005,Sikkim,35812
April 8 2005,Blackadder,25884
April 9 2005,Government of Maryland,20381
April 10 2005,Ryanair,59118
April 11 2005,Garry Kasparov,62985
April 12 2005,Caesar cipher,9403
April 13 2005,Timpani,32915
April 14 2005,Tamil,28079
April 15 2005,name of God,21688
April 16 2005,Colditz Castle,10998
April 17 2005,Galveston Hurricane of 1900,53430
April 18 2005,Aramaic,52531
April 19 2005,Apollo 8,49716
April 20 2005,history of post-Soviet Russia,67066
April 21 2005,Krag-Jørgensen,28931
April 22 2005,Robert Oppenheimer,76731
April 23 2005,Canadian Pacific Railway,83770
April 24 2005,Diego Velázquez,32754
April 25 2005,Hydrochloric acid,15791
April 26 2005,1896 Summer Olympics,28538
April 27 2005,Kylie Minogue,62795
April 28 2005,Republic of South Africa,75497
April 29 2005,Order of the Bath,31351
April 30 2005,Article One of the United States Constitution,89640
May 1 2005,swastika,66216
May 2 2005,Charles Ives,22677
May 3 2005,"Polish Constitution of May 3, 1791",43273
May 4 2005,War of the Spanish Succession,40682
May 5 2005,Automatic number plate recognition,44214
May 6 2005,Francis Petre,24236
May 7 2005,transit of Venus,25333
May 8 2005,Goa,49438
May 9 2005,Irish poetry,50156
May 10 2005,Samantha Smith,18841
May 11 2005,diamond,60906
May 12 2005,Brian Close,31790
May 13 2005,Louis Riel,37434
May 14 2005,Battle of Aljubarrota,16220
May 15 2005,Single Convention on Narcotic Drugs,49174
May 16 2005,Dream Theater,57795
May 17 2005,kibbutz,54740
May 18 2005,Margaret Thatcher,78970
May 19 2005,Silverpit crater,11269
May 20 2005,The Old Man and the Sea,11046
May 21 2005,Stuttering,48136
May 22 2005,Stanislaw Koniecpolski,26303
May 23 2005,Daleks,56921
May 24 2005,Blue Whale,23641
May 25 2005,Mount Pinatubo,16328
